;C11;C15;C17;C19;C3;C5;C6;CJA
foreach bn:03463379n;1; 1; 0; 1; 1; 1; 1; 1; 
incomplet bn:00104851a;1; 1; 0; 0; 0; 0; 1; 0; 
associer bn:00082868v;1; 1; 1; 1; 1; 1; 1; 1; 
invoquer bn:00085009v;1; 0; 0; 0; 0; 0; 0; 1; 
femme bn:00001530n;1; 1; 0; 0; 0; 0; 0; 0; 
femme mariée bn:00053531n;1; 0; 0; 0; 0; 0; 0; 0; 
pouvoir bn:00084450v;1; 1; 1; 0; 0; 0; 0; 0; 
abricot bn:00005174n;1; 0; 0; 0; 0; 0; 0; 0; 
bmw bn:03091163n;1; 0; 0; 0; 0; 0; 0; 0; 
peugeot bn:03339300n;1; 0; 0; 0; 0; 0; 0; 0; 
renault bn:00861552n;1; 0; 0; 0; 0; 0; 0; 0; 
alpha bn:00096877a;1; 1; 0; 0; 0; 0; 0; 0; 
structure de donnée bn:00025330n;1; 0; 0; 0; 0; 0; 0; 1; 
parcourir bn:00088968v;1; 1; 0; 1; 0; 0; 0; 0; 
boucle for bn:03237322n;1; 1; 1; 1; 0; 0; 1; 1; 
initialisation bn:00046781n;1; 1; 0; 1; 0; 1; 0; 1; 
identificateur bn:00045822n;1; 1; 0; 0; 0; 0; 0; 1; 
mot bn:00081546n;1; 1; 1; 1; 1; 1; 1; 1; 
mot de passe bn:00023218n;1; 1; 0; 1; 1; 0; 1; 0; 
correctement bn:00114335r;1; 1; 1; 0; 0; 0; 0; 0; 
consacrer à bn:00085427v;1; 1; 0; 0; 1; 0; 0; 0; 
démarrage bn:03140436n;1; 0; 1; 1; 0; 1; 0; 0; 
code bn:00084976v;1; 1; 1; 1; 0; 1; 1; 1; 
sorte bn:00035907n;1; 0; 0; 0; 1; 0; 0; 0; 
webmaster bn:00080788n;1; 1; 0; 0; 0; 0; 0; 0; 
clôturer bn:00085166v;1; 0; 0; 0; 0; 0; 0; 0; 
bénéficier bn:00083413v;1; 0; 0; 0; 0; 0; 0; 0; 
information bn:00046705n;1; 0; 1; 1; 1; 1; 1; 1; 
connexion bn:00021902n;1; 0; 0; 0; 0; 0; 0; 0; 
relationnelles bn:00109653a;1; 1; 1; 0; 1; 0; 0; 1; 
langage d bn:01781054n;1; 0; 0; 0; 0; 0; 0; 0; 
interrogation bn:00047208n;1; 1; 1; 0; 0; 1; 0; 1; 
structured query language bn:02266432n;1; 1; 0; 1; 1; 1; 1; 0; 
marché bn:00053458n;1; 0; 0; 0; 0; 0; 0; 0; 
msql bn:00466439n;1; 1; 1; 0; 0; 0; 0; 0; 
matériel bn:00021480n;1; 0; 0; 0; 0; 0; 1; 0; 
order bn:02240223n;1; 1; 0; 1; 1; 0; 0; 0; 
ordre alphabétique bn:00003059n;1; 1; 0; 0; 0; 0; 0; 0; 
renvoyer bn:00093609v;1; 0; 0; 0; 0; 0; 0; 0; 
réalité bn:00066414n;1; 1; 1; 1; 0; 0; 1; 0; 
interviews bn:00047238n;1; 0; 0; 0; 0; 0; 0; 0; 
local bn:00046665n;1; 0; 0; 0; 0; 0; 1; 0; 
caractérisent bn:00083713v;1; 1; 0; 0; 0; 0; 0; 0; 
isbn bn:00706122n;1; 0; 0; 0; 0; 0; 1; 0; 
verbes bn:00079778n;1; 0; 0; 0; 0; 0; 0; 1; 
aussi bn:00115484r;1; 0; 0; 0; 0; 0; 0; 0; 
varier bn:00082554v;1; 0; 0; 0; 0; 0; 1; 0; 
contradictoire bn:00100247a;1; 0; 0; 0; 0; 0; 0; 0; 
téléphone bn:00062020n;1; 1; 0; 1; 0; 0; 1; 1; 
lieu de travail bn:04726566n;1; 0; 0; 0; 0; 0; 0; 0; 
bureau bn:00001961n;1; 0; 0; 0; 0; 0; 1; 0; 
final bn:01755798n;1; 0; 0; 0; 1; 0; 0; 1; 
loin bn:00114455r;1; 0; 0; 0; 0; 0; 0; 0; 
clé étrangère bn:01944370n;1; 0; 0; 0; 1; 0; 1; 0; 
complexes bn:00100148a;1; 0; 1; 1; 1; 1; 1; 1; 
relation binaires bn:14410550n;1; 0; 0; 0; 0; 0; 0; 0; 
etudiants bn:00029806n;1; 0; 0; 0; 0; 1; 1; 0; 
focaliser bn:00088404v;1; 0; 0; 0; 0; 0; 0; 0; 
vitesse bn:00073258n;1; 0; 0; 0; 1; 0; 1; 0; 
vitesse de traitement bn:00050126n;1; 0; 0; 0; 0; 0; 0; 0; 
automatique bn:00097823a;1; 0; 0; 1; 0; 0; 0; 0; 
varchar bn:01838409n;1; 0; 0; 1; 1; 1; 1; 0; 
longueur bn:00050662n;1; 0; 0; 0; 1; 1; 0; 1; 
stocker bn:00095635v;1; 0; 0; 0; 0; 0; 1; 0; 
ordre bn:00020945n;1; 0; 0; 0; 0; 0; 0; 0; 
premier bn:00034738n;1; 1; 1; 1; 1; 0; 1; 0; 
time bn:03389905n;1; 0; 0; 1; 1; 1; 0; 0; 
timestamp bn:03603649n;1; 1; 0; 0; 1; 1; 1; 0; 
program files bn:14876712n;1; 1; 0; 0; 0; 0; 0; 0; 
root bn:00168023n;1; 0; 0; 0; 0; 1; 0; 0; 
machine bn:00054050n;1; 1; 0; 1; 1; 1; 1; 1; 
utilisateur root bn:01998267n;1; 0; 0; 0; 0; 0; 0; 0; 
administrateur bn:00075765n;1; 1; 1; 1; 1; 0; 1; 0; 
désinstallation bn:03478637n;1; 1; 1; 1; 0; 1; 0; 1; 
easyphp bn:14837849n;1; 1; 1; 1; 1; 0; 0; 0; 
casse bn:03225002n;1; 1; 1; 0; 0; 1; 0; 0; 
niveau logique bn:03372646n;1; 0; 0; 0; 0; 0; 0; 0; 
séquence bn:00070574n;1; 1; 0; 0; 1; 0; 1; 1; 
