X;C3.csv;C5.csv;C6.csv
correct;0.333333;0.333333;0
limiter;0.333333;0.333333;0
min;0.333333;0.333333;0
triche;0.333333;0.333333;0
pipotron;0.333333;0.333333;0
égard;0.333333;0.333333;0
dégradation;0.333333;0.333333;0
convient;0.333333;0.333333;0
anticiper;0.333333;0.333333;0
préoccuper;0.333333;0.333333;0
remémorer;0.333333;0.333333;0
globalité;0.333333;0.333333;0
possession;0.333333;0.333333;0
bon sens;0.333333;0.333333;0
correspondante;0.333333;0.333333;0
onglets;0.333333;0.333333;0
sciences;0.333333;0.333333;0
créer;0.333333;0.333333;0
chansons;0.333333;0.333333;0
genre musicaux;0.333333;0.333333;0
parole;0.333333;0.333333;0
statistique;0.333333;0.333333;0
droit d’auteur;0.333333;0.333333;0
supprimer;0.333333;0.333333;0
paroles de chanson;0.333333;0.333333;0
orthographe;0.333333;0.333333;0
familiarisation;0.333333;0.333333;0
créneau horaires;0.333333;0.333333;0
pouvoir;0.333333;0.333333;0
notification;0.333333;0.333333;0
tableur;0.333333;0.333333;0
dérouler;0.333333;0.333333;0
rue;0.333333;0.333333;0
seance;0.333333;0.333333;0
club de tennis;0.333333;0.333333;0
tennis;0.333333;0.333333;0
défaire;0.333333;0.333333;0
payer;0.333333;0.333333;0
sport;0.333333;0.333333;0
matériel;0.333333;0.333333;0
civile;0.333333;0.333333;0
clavier;0.333333;0.333333;0
vol;0.333333;0.333333;0
dégradation;0.333333;0.333333;0
mettre en prison;0.333333;0.333333;0
vainqueur;0.333333;0.333333;0
logistiques;0.333333;0.333333;0
match;0.333333;0.333333;0
caravane;0.333333;0.333333;0
branchement;0.333333;0.333333;0
lit;0.333333;0.333333;0
lit pliants;0.333333;0.333333;0
nuit;0.333333;0.333333;0
redevance;0.333333;0.333333;0
véhicules;0.333333;0.333333;0
courrier publicitaires;0.333333;0.333333;0
publicitaires;0.333333;0.333333;0
car;0.333333;0.333333;0
réfrigérateur;0.333333;0.333333;0
prestation;0.333333;0.333333;0
localisation géographique;0.333333;0.333333;0
téléphone;0.333333;0.333333;0
entendre;0.333333;0.333333;0
fin;0.333333;0.333333;0
presque;0.333333;0.333333;0
adhérents;0.333333;0.333333;0
adhesion;0.333333;0.333333;0
euro;0.333333;0.333333;0
moindre;0.333333;0.333333;0
intuitive;0.333333;0.333333;0
vital;0.333333;0.333333;0
bibliothèque thématiques;0.333333;0.333333;0
thématiques;0.333333;0.333333;0
avantageront;0.333333;0.333333;0
aphorisme;0.333333;0.333333;0
logiciel libres;0.333333;0.333333;0
décès;0.333333;0.333333;0
seul;0.333333;0.333333;0
lieu de naissance;0.333333;0.333333;0
multimédia;0.333333;0.333333;0
document officiel;0.333333;0.333333;0
acte;0.333333;0.333333;0
