;C3.csv;C5.csv;C6.csv;CJA-automatic.csv
concaténation bn:03489514n;1; 0; 0; 0; 
majuscule bn:00015499n;1; 0; 0; 1; 
égalité bn:00031284n;1; 0; 1; 1; 
eval bn:03464447n;1; 0; 1; 1; 
tableau associatifs bn:03848413n;1; 0; 1; 1; 
parcours bn:03468087n;1; 0; 0; 0; 
mardi bn:00078546n;1; 0; 0; 1; 
mercredi bn:00054897n;1; 0; 1; 1; 
jeudi bn:00076744n;1; 0; 0; 1; 
casse bn:03225002n;1; 0; 1; 1; 
query_string bn:03583474n;1; 0; 1; 1; 
externes bn:00102624a;1; 0; 1; 1; 
racine bn:00008793n;1; 0; 1; 0; 
signaler bn:00071525n;1; 0; 1; 1; 
type de retour bn:03354146n;1; 0; 1; 0; 
etudiant bn:00029806n;1; 0; 0; 1; 
setter bn:00021412n;1; 0; 1; 0; 
attribut bn:00007068n;1; 0; 1; 0; 
espace de nommage bn:01468325n;1; 0; 1; 1; 
bleu bn:00011477n;1; 0; 1; 1; 
set bn:00062714n;1; 0; 1; 1; 
diff bn:16709776n;1; 0; 1; 1; 
ball bn:03442687n;1; 0; 1; 1; 
être bn:00004222n;1; 0; 0; 1; 
interrogation bn:00047208n;1; 0; 1; 0; 
prenom bn:15996005n;1; 0; 0; 1; 
jeanne bn:03888564n;1; 0; 1; 1; 
durand bn:04919129n;1; 0; 1; 1; 
andreas bn:02288585n;1; 0; 1; 1; 
dalton bn:00025070n;1; 0; 1; 1; 
fichier css bn:01642119n;1; 0; 1; 1; 
auto bn:00007309n;1; 0; 1; 0; 
tr bn:03561884n;1; 0; 1; 1; 
puce bn:03415182n;1; 0; 1; 0; 
clef primaire bn:03542434n;1; 0; 0; 1; 
franz kafka bn:00036274n;1; 0; 1; 1; 
cotes bn:01852996n;1; 0; 1; 1; 
systématiquement bn:00114825r;1; 0; 1; 1; 
injections bn:03211312n;1; 0; 1; 1; 
injections sql bn:03319192n;1; 0; 1; 1; 
