;C1;C12;C13;C14;C16;C18;C2;C4;C7;C8;C9
vrai bn:00078452n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
multiplication bn:00056300n;0; 1; 1; 0; 1; 0; 0; 1; 0; 0; 1; 
division bn:00027919n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
concaténation bn:03489514n;0; 1; 0; 1; 1; 1; 1; 0; 0; 0; 1; 
bit bn:00010731n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
opérateur logiques bn:00051853n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
égal bn:00102336a;0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 1; 
après bn:00114165r;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
langage c bn:00014377n;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
conditionnelles bn:00100214a;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
appel de fonction bn:00036827n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
instruction vide bn:03112071n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
structure bn:00094491v;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
lisibilité bn:04849472n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
femme bn:00001530n;0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
ressembler à bn:00092876v;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
premier bn:00103006a;0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
boucle for bn:03237322n;0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 1; 
pouvoir bn:00084450v;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
foreach bn:03463379n;0; 1; 0; 0; 1; 1; 1; 1; 1; 0; 1; 
vouloir bn:00095629v;0; 1; 0; 0; 0; 1; 1; 0; 0; 0; 0; 
switch bn:01071927n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
reproduire bn:00092851v;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
substitution bn:03342494n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
valeur de retour bn:03828774n;0; 1; 0; 0; 1; 1; 1; 0; 0; 0; 1; 
correct bn:00100490a;0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
carre bn:00036107n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
identique bn:00104508a;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
couleurs bn:00020726n;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
coeur bn:00017124n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
passage par référence bn:14985956n;0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
avoir lieu bn:00085337v;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
séparer bn:00082871v;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
constante bn:00100331a;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
valeur par défaut bn:03854990n;0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 1; 
possibilité bn:00045632n;0; 1; 0; 1; 0; 1; 0; 1; 0; 0; 1; 
c++ bn:03586438n;0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 
classes bn:03608262n;0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 
encapsulation bn:01505556n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
entité bn:00031027n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
entité abstraite bn:00000492n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
abstraite bn:00096212a;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
caractéristique bn:00099532a;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
téléphone bn:00062020n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
fonctionnement bn:00059128n;0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 
héritage bn:00043822n;0; 1; 0; 0; 1; 0; 0; 0; 0; 1; 1; 
supplémentaires bn:00111488a;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
polymorphisme bn:01974384n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
constructeur bn:03834827n;0; 1; 0; 0; 1; 0; 0; 0; 0; 1; 1; 
parfois bn:00117070r;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
destructeur bn:01558988n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
garbage collector bn:00037292n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
class bn:03598962n;0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 
mot bn:00081546n;0; 1; 1; 1; 0; 0; 1; 1; 0; 0; 0; 
politique bn:00063351n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
façon bn:00033729n;0; 1; 0; 1; 0; 1; 0; 1; 0; 0; 1; 
pouvoir bn:00063940n;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
intervenir bn:00082748v;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
malheureusement bn:00114196r;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
développer bn:00082278v;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
éditer bn:00087485v;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
ldap bn:01096348n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
soin bn:00029048n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
fichier de configuration bn:03229365n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
généralement bn:00114778r;0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 
reprise bn:00067474n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
encadrer bn:00090616v;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
host bn:01846442n;0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
visiteur bn:03106425n;0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 
compiler bn:00021344n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
détruire bn:00084202v;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
sauvegarde bn:00007838n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
retrouver bn:00088204v;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
variable globale bn:02011863n;0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
port tcp bn:02405887n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
standard bn:00111129a;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
log bn:00051830n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
tcp/ip bn:00768762n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
alerte rouge bn:00066644n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
relecture bn:00064730n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
libérer bn:00090300v;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
nom de domaine bn:00028143n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
time bn:03389905n;0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 
interopérabilité bn:00047181n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
interfaçage bn:04713937n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
langage sql bn:02266432n;0; 1; 0; 0; 1; 0; 0; 0; 0; 1; 1; 
voûte bn:00079643n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
commerce bn:00077860n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
commerce électronique bn:00029344n;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
électronique bn:00030270n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
adabas d bn:03753860n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
informix bn:03306725n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
msql bn:00466439n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
odbc bn:14228731n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
postgresql bn:01709156n;0; 1; 0; 0; 1; 1; 0; 0; 0; 0; 1; 
sybase bn:01257629n;0; 1; 0; 0; 1; 1; 0; 0; 0; 0; 1; 
berkeley db bn:03239968n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
delete bn:00941697n;0; 1; 1; 1; 0; 1; 0; 0; 0; 1; 0; 
insert bn:03795444n;0; 1; 1; 1; 0; 0; 0; 0; 0; 1; 1; 
varchar bn:01838409n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
null bn:15898583n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
gates bn:00010401n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
consultation bn:00022092n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
temps bn:00077270n;0; 1; 0; 1; 0; 0; 1; 1; 1; 0; 1; 
organisation bn:00059480n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
stockage de données bn:00021483n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
linus torvalds bn:01002238n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
séquence bn:00070574n;0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
authentification bn:03253409n;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
sr bn:03261447n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
info bn:03662501n;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
echo bn:03626250n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
printf bn:03243783n;0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 
join bn:03425746n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
jointure bn:00048368n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
condensateur bn:00015415n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
web bn:00080772n;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
analyser bn:15790106n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
strcmp bn:13958358n;0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
regex bn:01922794n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
posix bn:01643654n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
fin de ligne bn:00051314n;0; 1; 0; 1; 1; 0; 0; 0; 0; 1; 0; 
successives bn:00100306a;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
rx bn:04024425n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
dynamique bn:00101917a;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
fonction mathématiques bn:00036821n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
xml bn:02771436n;0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
langage de programmation bn:00064652n;0; 1; 1; 0; 0; 0; 1; 1; 0; 0; 0; 
issue bn:00085360v;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
lire bn:00066357n;0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 1; 
fread bn:13825823n;0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
message bn:00521573n;0; 1; 0; 0; 1; 1; 0; 0; 0; 1; 0; 
copy bn:14086525n;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
rename bn:00342646n;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
