;A1;A2;A3;A4;A5;C1;C2;C3;C4;C5;C6;C7;C8
desired bn:00086682v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
choice modeling bn:00816623n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
concept map bn:03558829n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
according bn:00082227v;1; 1; 0; 0; 0; 1; 0; 1; 1; 1; 1; 1; 0; 
organizational bn:00107970a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
strategy bn:00069579n;1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
methodological bn:00106672a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
strategic goals bn:01181026n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
framework bn:00036197n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
process map bn:03245693n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
intended bn:00105249a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
target bn:00002179n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
triplet bn:00078196n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
meta-model bn:00912905n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
domain engineering bn:03151157n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
method engineering bn:01681684n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
secure bn:00092039v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
emergency evacuation bn:00754972n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
evacuation bn:00031970n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
share bn:00082718v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
operationalization bn:00059136n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
navigation bn:00057073n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
achievement bn:00000724n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
essential dimension bn:00934783n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
contained bn:00084850v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
discuss bn:00086931v;1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
flood bn:00002954n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
emergency state bn:02347170n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
cm bn:00017163n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
reinforce bn:00092711v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ments bn:03398054n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
close bn:00114747r;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
police bn:00022026n;1; 1; 0; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 
process simulation bn:01567557n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
detector bn:00026638n;1; 1; 0; 0; 0; 1; 0; 1; 1; 1; 1; 0; 1; 
high bn:00104162a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
high water bn:00077199n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
run time bn:00068562n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
adapted bn:00082215v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
recommendation system bn:03423313n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
life bn:00021477n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
damage bn:00025083n;1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
safety bn:00068799n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
scenario planning bn:03429478n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
int bn:01463424n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
model driven architecture bn:03127962n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
architecture bn:00005442n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
lettonie bn:00050191n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
requirement analysis bn:03312848n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
contemporary bn:00100361a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
business bn:00014137n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
business process bn:02788029n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
programming bn:00092051v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
selection bn:00018661n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
switzerland bn:00069666n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
c. rolland bn:01420988n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
intentionality bn:01088660n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
systems design bn:03155334n;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
ltd. bn:00050331n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
russian federation bn:00068622n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
civil defense bn:00019358n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
natural disasters bn:03411833n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
disasters bn:00014640n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
alternative bn:00003132n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
university toronto bn:03673925n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
business process reengineering bn:00875146n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
finance bn:00034524n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
computational bn:00100175a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
computational model bn:02178547n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
grammars bn:00041302n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
finally bn:00115368r;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
typical bn:00112216a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
turing machine bn:00078634n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
movable bn:00106987a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
read/write head bn:00043271n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
unbounded bn:00098764a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
restrict bn:00083834v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
prime bn:00109014a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
prime number bn:00064389n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
number symbols bn:03413162n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
parenthesis bn:00060647n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
strings bn:00074685n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
pattern matching bn:15025637n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sequential logic bn:03784514n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
based bn:00083141v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
context-free grammar bn:03528710n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
combinational logic bn:03784491n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
switching circuit bn:02573583n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
labelled graph bn:00850196n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
regular language bn:01923400n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
machine model bn:01013765n;1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
mathematically bn:00116207r;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
metaphor bn:00054578n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
far bn:00115323r;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
motion bn:00056030n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
writing direction bn:00059588n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
produced bn:00086013v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
transducer bn:00077966n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
mealy machine bn:02673953n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
x x bn:00030580n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
black bn:00098493a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
black box bn:01158443n;1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
processing bn:00092034v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
classifier bn:03630866n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
moore machine bn:02879096n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
concentrating bn:00084726v;1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
functional program bn:00212944n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
imperative program bn:01246770n;1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
outputting bn:00091243v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
long bn:00116154r;1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
input symbol bn:00003054n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
infinite bn:00105064a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
infinite number bn:01162309n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
mutual recursion bn:01278231n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
cons bn:01353463n;1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
code bn:00020354n;1; 1; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
function called bn:00036827n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
arithmetic bn:00005676n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
input stream bn:02122367n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
void bn:00030635n;1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
tail recursive bn:00232869n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
gotos bn:01643893n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
eliminating bn:00087533v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
variable bn:00113503a;1; 1; 1; 0; 0; 0; 1; 1; 1; 1; 1; 1; 0; 
current bn:00096401a;1; 1; 1; 0; 0; 1; 1; 1; 0; 1; 0; 0; 0; 
char bn:00017738n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
functionality bn:00036836n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
equation bn:00031293n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
unspecified bn:00113266a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
lieu bn:00051035n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
controller bn:00954215n;1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
proceed bn:00085714v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
interested bn:00105275a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
categorizing bn:00084690v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
derive bn:00086654v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
type machine bn:00078809n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
class 0 bn:03739887n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
final class bn:01755798n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
special case bn:02482901n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
alphabet bn:00000242n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
musical instrument bn:00046965n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
musical instrument digital interface bn:00054877n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
electronic bn:00102099a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
electronic musical instruments bn:00030254n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
midi sequencer bn:00451176n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
amplitude bn:00003667n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
depending bn:00083451v;1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 
q 2 bn:16632030n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
q2 bn:00065611n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
c 1 bn:03770389n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
number state bn:02131715n;1; 1; 1; 0; 0; 0; 1; 1; 1; 1; 1; 0; 0; 
a/0 bn:01104287n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
categorize bn:00006555n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
traffic light bn:00074441n;1; 1; 1; 0; 0; 1; 1; 0; 1; 0; 1; 0; 1; 
green bn:00103788a;1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
yellow bn:00100582a;1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
red figure bn:00665975n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
integer bn:00047009n;1; 1; 1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
unknown bn:00107687a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
floating-point bn:00035278n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
scanner bn:00027087n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
finite-state transducer bn:00189961n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
message bn:00054523n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
digit bn:00025702n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
communicating bn:00085436v;1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
capable bn:00099215a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
counterclockwise bn:00097228a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
spaced bn:00094068v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sampling rate bn:00069088n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
speed bn:00073258n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
inference bn:00045936n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
figure bn:00045772n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
rotational bn:00109943a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
rotational direction bn:02012642n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
wrist-watch bn:00077172n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
display bn:00027675n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
vending bn:00089254v;1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 1; 
vending machine bn:15034978n;1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 1; 
output signal bn:00059789n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
traffic flow bn:15511757n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
cross traffic bn:01194272n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
traffic intersection bn:00016237n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bar code bn:00008480n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bit bn:00010731n;1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 0; 1; 
equal bn:00102336a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
tick bn:00017986n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
dark bn:00025236n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
idle bn:00104520a;1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
acceptor bn:00000659n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
gasoline bn:00037384n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
credit card bn:00017800n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
personal identification bn:00015915n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
identification number bn:00045820n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
keypad bn:00021482n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
nozzle bn:00058124n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
lever bn:00050864n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
q0 bn:17364007n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
g0 bn:03457776n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
equivalent representation bn:01209506n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
binary bn:00098398a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
least-significant bit bn:03286764n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
x0 bn:00146324n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
reproduce bn:00092850v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
first step bn:00034797n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
r0 bn:01974847n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bit position bn:00256868n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
replicated bn:00087174v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
c0 bn:01697326n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
number 0 bn:00000004n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
number 1 bn:00034738n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
binary adder bn:00001280n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
binary numerals bn:00010481n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
decimal value bn:00025700n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
serial binary adder bn:03839336n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
greater bn:00103782a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
simulate bn:00090880v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
division algorithm bn:02696766n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
combination lock bn:00020880n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
result bn:00090243v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
string matching algorithm bn:02228010n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
terminal symbol bn:03643078n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
0b bn:00877013n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
derivation tree bn:00320060n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
include bn:00089662v;1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
corresponding bn:00082477v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
deterministic automaton bn:03116203n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
breadth-first search bn:03868956n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
iteration bn:00047734n;1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
simply bn:00116053r;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
precedence bn:01410322n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ambiguous grammar bn:03492547n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
concatenation bn:03489514n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bullet bn:03415182n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
explain bn:00087870v;1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
concatenating bn:00085508v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
fewer bn:00102921a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
infinite set bn:00046665n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sr bn:00006868n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
justify bn:00090026v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
language constructed bn:01651637n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
kleene bn:02242973n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
iff bn:00706632n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
previously bn:00114297r;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
entire bn:00102277a;1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
floyd warshall bn:01616259n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
real number bn:00066395n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
simplification bn:03665941n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
derivation bn:00026447n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
inductive bn:00104990a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
egrep bn:03233188n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
awk bn:00664644n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
notation bn:00058141n;1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
differ bn:00086797v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
file bn:00021475n;1; 1; 1; 0; 0; 0; 1; 0; 1; 1; 1; 1; 1; 
scan bn:00092427v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
anew bn:00114164r;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
question mark bn:00047210n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ascii bn:00003473n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ascii character bn:00006269n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
character code bn:00017756n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
newline bn:00051314n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
qu bn:00146760n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
az bn:00005684n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
s i bn:00047162n;1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
complementation bn:03341864n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
relative bn:00100122a;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
digital computer bn:00027084n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
machine element bn:02053834n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
propositional function bn:01604270n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
memory recall bn:00066478n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
recall bn:00084413v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
share bn:00070912n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
