X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10
rows bn:03611246n ; 0 ; 0.047619 ; 0 ; 0 ; 0 ; 0.0441989 ; 0 ; 0 ; 0.0432432 ; 0.0379147
query string bn:03583474n ; 0 ; 0 ; 0 ; 0 ; 0.0113636 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
clique bn:00015038n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
analyser bn:15790106n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
variables bn:00079583n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
femme bn:00001530n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.037037 ; 0.0220994 ; 0.0193237
côté client bn:03163702n ; 0 ; 0 ; 0.0437158 ; 0 ; 0.043956 ; 0.0441989 ; 0 ; 0 ; 0 ; 0.0379147
ok bn:00058395n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
droit bn:00048655n ; 0 ; 0 ; 0.0837696 ; 0.103896 ; 0.0842105 ; 0.0846561 ; 0 ; 0 ; 0 ; 0.0730594
générique bn:00103518a ; 0 ; 0 ; 0.0112994 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
échouer bn:00087967v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
contacter bn:00085696v ; 0 ; 0 ; 0 ; 0 ; 0.0113636 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
pouvoir bn:00063940n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0114286 ; 0 ; 0 ; 0 ; 0.0097561
standard bn:00111129a ; 0 ; 0 ; 0.0437158 ; 0 ; 0.043956 ; 0.0441989 ; 0 ; 0 ; 0 ; 0.0379147
conditionnelles bn:00100214a ; 0 ; 0 ; 0.0223464 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0220994 ; 0.0193237
diagramme bn:00026817n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0188679 ; 0 ; 0.0097561
