X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
windows bn:00081305n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
emacs bn:01156253n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
nano bn:01478473n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
langage c bn:00014377n ; 0 ; 0.0615385 ; 0 ; 0.0740741 ; 0 ; 0 ; 0.0769231
attribut bn:00007068n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
integer bn:00691555n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0.0425532 ; 0
type bn:00016413n ; 0 ; 0.031746 ; 0.0357143 ; 0 ; 0 ; 0 ; 0
concaténation bn:03489514n ; 0 ; 0.0615385 ; 0.0689655 ; 0 ; 0 ; 0 ; 0.0769231
opérateur logiques bn:00051853n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
multiplication bn:00056300n ; 0 ; 0.0615385 ; 0 ; 0.0740741 ; 0 ; 0 ; 0.0769231
division bn:00027919n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
valeur numérique bn:00000451n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
comparaison bn:00021304n ; 0 ; 0.115942 ; 0.129032 ; 0 ; 0 ; 0.150943 ; 0.142857
égal bn:00102336a ; 0 ; 0.0615385 ; 0 ; 0.0740741 ; 0 ; 0 ; 0.0769231
inférieur bn:00035700n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
mathématiques bn:00106488a ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
extraction bn:04915718n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
procédural bn:00109049a ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
capables bn:00099215a ; 0 ; 0.031746 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
tableau associatifs bn:03848413n ; 0 ; 0.031746 ; 0 ; 0 ; 0.04 ; 0 ; 0
hash bn:00583146n ; 0 ; 0.031746 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
sizeof bn:03205994n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
foreach bn:03463379n ; 0 ; 0.031746 ; 0 ; 0 ; 0.04 ; 0 ; 0
cle bn:04756252n ; 0 ; 0.115942 ; 0.129032 ; 0.137931 ; 0 ; 0 ; 0.142857
rappel bn:03490040n ; 0 ; 0.115942 ; 0 ; 0.137931 ; 0.142857 ; 0 ; 0.142857
serveur bn:00044916n ; 0 ; 0.115942 ; 0 ; 0.137931 ; 0 ; 0.150943 ; 0.142857
unix bn:00079165n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
page bn:00060158n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
communication bn:00021221n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
possibilité bn:00045632n ; 0 ; 0.0615385 ; 0 ; 0.0740741 ; 0 ; 0 ; 0.0769231
interpréter bn:00089840v ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0.0425532 ; 0
linux bn:00051427n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
line bn:16701562n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
rows bn:03611246n ; 0 ; 0.0615385 ; 0.0689655 ; 0 ; 0 ; 0 ; 0.0769231
query string bn:03583474n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
clique bn:00015038n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
analyser bn:15790106n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
variables bn:00079583n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
femme bn:00001530n ; 0 ; 0.0615385 ; 0 ; 0 ; 0 ; 0.0816327 ; 0.0769231
ok bn:00058395n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
droit bn:00048655n ; 0 ; 0.031746 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
générique bn:00103518a ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
échouer bn:00087967v ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
contacter bn:00085696v ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
pouvoir bn:00063940n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
standard bn:00111129a ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
conditionnelles bn:00100214a ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
diagramme bn:00026817n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0.0425532 ; 0
switch bn:01071927n ; 0 ; 0.336957 ; 0.380952 ; 0.365854 ; 0.375 ; 0.38961 ; 0.375
bloc bn:03098513n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
prix unitaire bn:00587816n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0.0425532 ; 0
boucle for bn:03237322n ; 0 ; 0.0615385 ; 0 ; 0 ; 0 ; 0.0816327 ; 0.0769231
répéter bn:00089731v ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
initialisation bn:00046781n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
incrémentation bn:01936826n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
mettre à jour bn:00095451v ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
col bn:00018680n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
evaluation bn:02745649n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
binôme bn:00098404a ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
classes bn:03608262n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
class bn:03598962n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
constantes bn:00100331a ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
créer bn:00086008v ; 0 ; 0.031746 ; 0.0357143 ; 0 ; 0 ; 0 ; 0
mot bn:00081546n ; 0 ; 0.0615385 ; 0.0689655 ; 0.0740741 ; 0 ; 0 ; 0
méthode bn:01641329n ; 0 ; 0 ; 0.231884 ; 0.227273 ; 0.234375 ; 0.245902 ; 0.234375
env bn:01199166n ; 0 ; 0.0615385 ; 0 ; 0 ; 0.0769231 ; 0 ; 0.0769231
