X;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10
transfert de fichier;0;0.00478469;0;0;0;0;0;0;0;0
fread;0;0.0188679;0.014652;0.0203046;0;0;0;0;0;0
fin de fichier;0;0.00952381;0.00738007;0;0;0;0;0;0;0
existence;0;0.0188679;0;0;0.015873;0.0186916;0;0;0;0
carte d’identité;0;0.00478469;0;0;0;0;0;0;0;0
timestamp;0;0.0580357;0.0567376;0;0.0532319;0.0622222;0.08125;0;0;0
min;0;0.00952381;0;0;0;0.00943396;0;0;0;0
exe;0;0.00478469;0;0;0;0;0;0;0;0
xhtml;0;0.00952381;0.00738007;0;0;0;0;0;0;0
2.0;0;0.00478469;0;0;0;0;0;0;0;0
base;0;0;0.0037037;0;0;0;0;0;0;0
séparateur;0;0;0.00738007;0;0;0.00943396;0;0;0;0
supprimer;0;0;0.0037037;0;0;0;0;0;0;0
précédence;0;0;0.0037037;0;0;0;0;0;0;0
bits;0;0;0.00738007;0;0.008;0;0;0;0;0
strftime;0;0;0.00738007;0;0.008;0;0;0;0;0
modifier;0;0;0.0037037;0;0;0;0;0;0;0
numériques;0;0;0.0037037;0;0;0;0;0;0;0
réels;0;0;0.00738007;0;0;0.00943396;0;0;0;0
enum;0;0;0.0037037;0;0;0;0;0;0;0
