X;C11;C15;C17;C19;C3;C5;C6
êtres;0.0153846;0;0;0;0;0;0
fonctionnalité;0.0588235;0.0588235;0;0;0;0;0.0588235
validité;0.030303;0;0;0;0;0;0.030303
format de date;0.0588235;0.0588235;0;0;0.0588235;0;0
séparément;0.0153846;0;0;0;0;0;0
ligne de code;0.111111;0.111111;0.111111;0.111111;0;0;0
charge de travail;0.0153846;0;0;0;0;0;0
commettre;0.030303;0;0;0;0;0.030303;0
l’écriture;0.2;0.2;0;0.2;0.2;0.2;0
ergonomiques;0.0153846;0;0;0;0;0;0
police de caractère;0.0153846;0;0;0;0;0;0
couleurs;0.333333;0.333333;0;0.333333;0.333333;0.333333;0.333333
correcte;0.0153846;0;0;0;0;0;0
placer;0.111111;0.111111;0;0;0.111111;0;0.111111
économie;0.0153846;0;0;0;0;0;0
dégager;0.0153846;0;0;0;0;0;0
répartition;0.0153846;0;0;0;0;0;0
mentionner;0.030303;0;0;0.030303;0;0;0
résulter;0.0153846;0;0;0;0;0;0
électronique;0.030303;0.030303;0;0;0;0;0
gif;0.030303;0;0;0;0.030303;0;0
h2;0.0588235;0;0;0.0588235;0;0.0588235;0
solid;0.030303;0;0.030303;0;0;0;0
encart;0.0153846;0;0;0;0;0;0
navigation;0.030303;0.030303;0;0;0;0;0
déconnecter;0.030303;0.030303;0;0;0;0;0
lors;0.0153846;0;0;0;0;0;0
lien de retour;0.0153846;0;0;0;0;0;0
déconnexion;0.0588235;0;0;0.0588235;0.0588235;0;0
feuille;0.0153846;0;0;0;0;0;0
sophistiquée;0.0153846;0;0;0;0;0;0
approfondir;0.0153846;0;0;0;0;0;0
oublier;0.030303;0;0.030303;0;0;0;0
certain;0.0153846;0;0;0;0;0;0
alternative;0.0153846;0;0;0;0;0;0
sens large;0.0153846;0;0;0;0;0;0
encodeur;0.0153846;0;0;0;0;0;0
bienvenue;0.0588235;0;0.0588235;0;0;0;0.0588235
ressembler à;0.111111;0;0;0.111111;0.111111;0;0.111111
progression;0.0153846;0;0;0;0;0;0
difficulté;0.0153846;0;0;0;0;0;0
feed-back;0.0153846;0;0;0;0;0;0
avoir échoué;0.0153846;0;0;0;0;0;0
id;0.333333;0.333333;0;0.333333;0.333333;0.333333;0.333333
mini-site;0.030303;0;0;0;0;0;0.030303
arborescence;0.0153846;0;0;0;0;0;0
cache;0.0588235;0;0;0;0.0588235;0.0588235;0
daniel;0;0.0153846;0;0;0;0;0
historique;0;0.030303;0;0;0;0.030303;0
manuel;0;0.0153846;0;0;0;0;0
arrêt;0;0.0153846;0;0;0;0;0
interfaçage;0;0.030303;0.030303;0;0;0;0
transtypage;0;0.111111;0;0.111111;0.111111;0;0.111111
arobase;0;0.0153846;0;0;0;0;0
comparaison;0;0.111111;0.111111;0.111111;0.111111;0;0
fonction utilisateurs;0;0.0588235;0.0588235;0;0;0.0588235;0
validation;0;0.030303;0;0;0;0.030303;0
en-tête;0;0.2;0.2;0.2;0.2;0;0.2
base de données web;0;0.0153846;0;0;0;0;0
rechercher;0;0.0153846;0;0;0;0;0
