;C11;C15;C17;C19;C3;C5;C6
facebook bn:03624775n;1; 1; 1; 1; 1; 0; 1; 
sortie bn:00032242n;1; 1; 1; 1; 1; 0; 1; 
ca bn:00014403n;1; 1; 1; 1; 1; 0; 1; 
livre bn:00012059n;1; 1; 1; 1; 1; 0; 1; 
hiphop bn:01959769n;1; 1; 1; 1; 1; 0; 1; 
machine virtuelle bn:02589960n;1; 1; 1; 1; 1; 0; 1; 
typage fort bn:02560161n;1; 1; 1; 1; 1; 0; 1; 
phalcon bn:15355608n;1; 1; 1; 1; 1; 0; 1; 
compilation aot bn:15411174n;1; 1; 1; 1; 1; 0; 1; 
yahoo bn:00081801n;1; 1; 1; 1; 1; 0; 1; 
content management systems bn:03631223n;1; 1; 1; 1; 1; 0; 1; 
gestion de contenu bn:00883027n;1; 1; 1; 1; 1; 0; 1; 
joomla bn:01946532n;1; 1; 1; 1; 1; 0; 1; 
développement web bn:03446093n;1; 1; 1; 1; 1; 0; 0; 
macports bn:01068822n;1; 1; 1; 1; 1; 0; 1; 
numbers bn:00439302n;1; 1; 1; 1; 1; 0; 1; 
compression bn:00021441n;1; 1; 1; 1; 1; 0; 1; 
éxécution bn:16533697n;1; 1; 1; 1; 1; 0; 1; 
désactiver bn:00027407n;1; 1; 1; 1; 1; 0; 0; 
plugins bn:00001275n;1; 1; 1; 1; 1; 0; 1; 
logger bn:00825346n;1; 1; 1; 1; 1; 0; 1; 
rapporter bn:00034163n;1; 1; 1; 1; 1; 0; 1; 
fuite de mémoire bn:01230884n;1; 1; 1; 1; 1; 0; 1; 
chaine bn:00017487n;1; 1; 1; 1; 1; 0; 1; 
socket bn:15776593n;1; 1; 1; 1; 1; 0; 1; 
iconv bn:03672592n;1; 1; 1; 1; 1; 0; 1; 
smtp bn:02128235n;1; 1; 1; 1; 1; 0; 1; 
set bn:04928161n;1; 1; 1; 1; 1; 0; 1; 
lien permanents bn:03767636n;1; 1; 1; 1; 1; 0; 1; 
links bn:01052609n;1; 1; 1; 1; 1; 0; 1; 
passwd bn:14874750n;1; 1; 1; 1; 1; 0; 1; 
mysqli bn:01438356n;1; 1; 1; 1; 1; 0; 1; 
md5 bn:01141584n;1; 1; 1; 1; 1; 0; 1; 
assertion bn:04728763n;1; 1; 1; 1; 1; 0; 1; 
khtml bn:00975876n;1; 1; 1; 1; 1; 0; 1; 
gecko bn:15456781n;1; 1; 1; 1; 1; 0; 1; 
remède bn:00054133n;1; 1; 1; 1; 1; 0; 1; 
head bn:02338897n;1; 1; 1; 1; 1; 0; 0; 
répondre bn:00082225v;1; 1; 1; 1; 1; 0; 1; 
eval bn:03464447n;1; 1; 1; 1; 1; 0; 1; 
parcours bn:03468087n;1; 1; 1; 1; 1; 0; 0; 
mardi bn:00078546n;1; 1; 1; 1; 1; 0; 1; 
mercredi bn:00054897n;1; 1; 1; 1; 1; 0; 1; 
jeudi bn:00076744n;1; 1; 1; 1; 1; 0; 1; 
externes bn:00102624a;1; 1; 1; 1; 1; 0; 1; 
racine bn:00008793n;1; 1; 1; 1; 1; 0; 1; 
type de retour bn:03354146n;1; 1; 1; 1; 1; 0; 1; 
setter bn:00021412n;1; 1; 1; 1; 1; 0; 1; 
espace de nommage bn:01468325n;1; 1; 1; 1; 1; 0; 1; 
set bn:00062714n;1; 1; 1; 1; 1; 0; 1; 
diff bn:16709776n;1; 1; 1; 1; 1; 0; 1; 
ball bn:03442687n;1; 1; 1; 1; 1; 0; 1; 
être bn:00004222n;1; 1; 1; 1; 1; 0; 0; 
jeanne bn:03888564n;1; 1; 1; 1; 1; 0; 1; 
durand bn:04919129n;1; 1; 1; 1; 1; 0; 1; 
andreas bn:02288585n;1; 1; 1; 1; 1; 0; 1; 
dalton bn:00025070n;1; 1; 1; 1; 1; 0; 1; 
cotes bn:01852996n;1; 1; 1; 1; 1; 0; 1; 
systématiquement bn:00114825r;1; 1; 1; 1; 1; 0; 1; 
injections bn:03211312n;1; 1; 1; 1; 1; 0; 1; 
injections sql bn:03319192n;1; 1; 1; 1; 1; 0; 1; 
code malveillant bn:01363738n;1; 1; 1; 1; 1; 0; 1; 
html5 bn:03675085n;1; 1; 1; 1; 1; 0; 1; 
injection de code bn:00184104n;1; 1; 1; 1; 1; 0; 1; 
système d’information bn:00025331n;1; 1; 1; 1; 1; 0; 1; 
credit bn:00022100n;1; 1; 1; 1; 1; 0; 1; 
depot bn:03854733n;1; 1; 1; 1; 1; 0; 0; 
réutilisé bn:00092558v;1; 1; 1; 1; 1; 0; 0; 
csrf bn:14277211n;1; 1; 1; 1; 1; 0; 1; 
flask bn:14887813n;1; 1; 1; 1; 1; 0; 1; 
token bn:00050895n;1; 1; 1; 1; 1; 0; 1; 
svg bn:02136503n;1; 1; 1; 1; 1; 0; 1; 
mathml bn:03313895n;1; 1; 1; 1; 1; 0; 1; 
document xml bn:04725671n;1; 1; 1; 1; 1; 0; 1; 
bas niveau bn:01163629n;1; 1; 1; 1; 1; 0; 1; 
programme tv bn:00076429n;1; 1; 1; 1; 1; 0; 1; 
tv bn:00076373n;1; 1; 1; 1; 1; 0; 1; 
debut bn:01247692n;1; 1; 1; 1; 1; 0; 1; 
smith bn:15137150n;1; 1; 1; 1; 1; 0; 1; 
dutchman bn:03862910n;1; 1; 1; 1; 1; 0; 1; 
johnny guitar bn:00554585n;1; 1; 1; 1; 1; 0; 1; 
guitar bn:00281486n;1; 1; 1; 1; 1; 0; 1; 
woman under the influence bn:03640247n;1; 1; 1; 1; 1; 0; 1; 
victor/victoria bn:01767778n;1; 1; 1; 1; 1; 0; 1; 
simplexml bn:15053361n;1; 1; 1; 1; 1; 0; 1; 
the flying dutchman bn:16075739n;1; 1; 1; 1; 1; 0; 1; 
jour de fête bn:15946696n;1; 1; 1; 1; 1; 0; 1; 
composants bn:00021396n;1; 1; 1; 1; 1; 0; 1; 
framework web bn:01653710n;1; 1; 1; 1; 1; 0; 1; 
routage bn:01926016n;1; 1; 1; 1; 1; 0; 1; 
familiariser bn:00082274v;1; 1; 1; 1; 1; 0; 1; 
micro-noyau bn:15964004n;1; 1; 1; 1; 1; 0; 1; 
bin bn:00000199n;1; 1; 1; 1; 1; 0; 1; 
répertoire de travail bn:00826363n;1; 1; 1; 1; 1; 0; 1; 
flex bn:00337264n;1; 1; 1; 1; 1; 0; 1; 
test driven development bn:02924470n;1; 1; 1; 1; 1; 0; 1; 
avant bn:00035855n;1; 1; 1; 1; 1; 0; 1; 
junit bn:00861107n;1; 1; 1; 1; 1; 0; 1; 
phpunit bn:00980999n;1; 1; 1; 1; 1; 0; 1; 
mettre en place bn:00088250v;1; 1; 1; 1; 1; 0; 1; 
architecture rest bn:03799604n;1; 1; 1; 1; 1; 0; 1; 
transfer bn:03128918n;1; 1; 1; 1; 1; 0; 1; 
logique métier bn:00795795n;1; 1; 1; 1; 1; 0; 1; 
json bn:00802141n;1; 1; 1; 1; 1; 0; 1; 
rich internet application bn:00268208n;1; 1; 1; 1; 1; 0; 1; 
patch bn:00060970n;1; 1; 1; 1; 1; 0; 1; 
soap bn:02284891n;1; 1; 1; 1; 1; 0; 1; 
principe bn:00064428n;1; 1; 1; 1; 1; 0; 1; 
roy fielding bn:00949159n;1; 1; 1; 1; 1; 0; 1; 
thèse bn:00027718n;1; 1; 1; 1; 1; 0; 1; 
séparation bn:00070542n;1; 1; 1; 1; 1; 0; 1; 
code serveur bn:16078281n;1; 1; 1; 1; 1; 0; 1; 
mémorisation bn:00021038n;1; 1; 1; 1; 1; 0; 1; 
contact bn:00085696v;1; 1; 1; 1; 1; 0; 1; 
creation bn:03599511n;1; 1; 1; 1; 1; 0; 1; 
voter bn:00008198n;1; 1; 1; 1; 1; 0; 1; 
mobile bn:00017029n;1; 1; 1; 1; 1; 0; 1; 
gitlab bn:14257471n;1; 1; 1; 1; 1; 0; 1; 
bitbucket bn:01444337n;1; 1; 1; 1; 1; 0; 1; 
github bn:01101521n;1; 1; 1; 1; 1; 0; 1; 
gestion de version bn:03364124n;1; 1; 1; 1; 1; 0; 1; 
professionnelle bn:00109068a;1; 1; 1; 1; 1; 0; 1; 
dominique bn:00021210n;1; 1; 1; 1; 1; 1; 0; 
gnu fdl bn:01157394n;1; 1; 1; 1; 1; 1; 0; 
généralité bn:00041249n;1; 1; 1; 1; 1; 1; 0; 
langage intermédiaires bn:00350794n;1; 1; 1; 1; 1; 1; 0; 
préliminaire bn:00108949a;1; 1; 1; 1; 1; 1; 0; 
dbx bn:03185121n;1; 1; 1; 1; 1; 1; 0; 
news bn:03357706n;1; 1; 1; 1; 1; 1; 0; 
aborder bn:00084117v;1; 1; 1; 1; 1; 1; 0; 
universitaires bn:00110169a;1; 1; 1; 1; 1; 1; 0; 
autonome bn:00097830a;1; 1; 1; 1; 1; 1; 0; 
docbook bn:03194644n;1; 1; 1; 1; 1; 1; 0; 
texte source bn:03152229n;1; 1; 1; 1; 1; 1; 0; 
emacs bn:01156253n;1; 1; 1; 1; 1; 1; 0; 
disponible bn:00097848a;1; 1; 1; 1; 1; 1; 0; 
seul bn:00110667a;1; 1; 1; 1; 1; 1; 0; 
noter bn:00088760v;1; 1; 1; 1; 1; 1; 0; 
langage naturels bn:00056990n;1; 1; 1; 1; 1; 1; 0; 
autre bn:00108013a;1; 1; 1; 1; 1; 1; 0; 
réécrire bn:00092997v;1; 1; 1; 1; 1; 1; 0; 
portabilité bn:03720519n;1; 1; 1; 1; 1; 1; 0; 
langage compilés bn:00981689n;1; 1; 1; 1; 1; 1; 0; 
intelligible bn:00097389a;1; 1; 1; 1; 1; 1; 0; 
point de vue bn:00063237n;1; 1; 1; 1; 1; 1; 0; 
auxiliaire bn:00007423n;1; 1; 1; 1; 1; 1; 0; 
mesure bn:00090716v;1; 1; 1; 1; 1; 1; 0; 
compilé bn:00085470v;1; 1; 1; 1; 1; 1; 0; 
confidentialité bn:00021748n;1; 1; 1; 1; 1; 1; 0; 
paiement bn:00061119n;1; 1; 1; 1; 1; 1; 0; 
paiement en ligne bn:05011741n;1; 1; 1; 1; 1; 1; 0; 
lisp bn:00051502n;1; 1; 1; 1; 1; 1; 0; 
nécessité bn:00026107n;1; 1; 1; 1; 1; 1; 0; 
flash bn:01369336n;1; 1; 1; 1; 1; 1; 0; 
contrôle de sécurité bn:03784539n;1; 1; 1; 1; 1; 1; 0; 
être extrait bn:00087897v;1; 1; 1; 1; 1; 1; 0; 
cas particulier bn:02482901n;1; 1; 1; 1; 1; 1; 0; 
inférieur bn:00035700n;1; 1; 1; 1; 1; 1; 0; 
table de multiplication bn:03381903n;1; 1; 1; 1; 1; 1; 0; 
factorielles bn:00032673n;1; 1; 1; 1; 1; 1; 0; 
après bn:00114165r;1; 1; 1; 1; 1; 1; 0; 
exclusifs bn:00102512a;1; 1; 1; 1; 1; 1; 0; 
nom de personne bn:03150299n;1; 1; 1; 1; 1; 1; 0; 
permis de chasse bn:00037195n;1; 1; 1; 1; 1; 1; 0; 
coûter bn:00083193v;1; 1; 1; 1; 1; 1; 0; 
abuser bn:00090815v;1; 1; 1; 1; 1; 1; 0; 
matrice bn:00053849n;1; 1; 1; 1; 1; 1; 0; 
touch bn:03178622n;1; 1; 1; 1; 1; 1; 0; 
hoaxbuster bn:04764839n;1; 1; 1; 1; 1; 1; 0; 
xxvii bn:00000091n;1; 1; 1; 1; 1; 1; 0; 
migration bn:00261245n;1; 1; 1; 1; 1; 1; 0; 
général bn:00037663n;1; 1; 1; 1; 1; 1; 0; 
adodb bn:00868267n;1; 1; 1; 1; 1; 1; 0; 
metadata bn:00054548n;1; 1; 1; 1; 1; 1; 0; 
mssql bn:00605043n;1; 1; 1; 1; 1; 1; 0; 
firebird bn:02246711n;1; 1; 1; 1; 1; 1; 0; 
explicitement bn:00115285r;1; 1; 1; 1; 1; 1; 0; 
homogène bn:00104286a;1; 1; 1; 1; 1; 1; 0; 
copier-coller bn:00797466n;1; 1; 1; 1; 1; 1; 0; 
ok bn:00058395n;1; 1; 1; 1; 1; 1; 0; 
envier bn:00083351v;1; 1; 1; 1; 1; 1; 0; 
force brute bn:00149736n;1; 1; 1; 1; 1; 1; 0; 
bc bn:15403265n;1; 1; 1; 1; 1; 1; 0; 
temps de calcul bn:00068589n;1; 1; 1; 1; 1; 1; 0; 
chaîne littérale bn:01271375n;1; 1; 1; 1; 1; 1; 0; 
tex bn:02362481n;1; 1; 1; 1; 1; 1; 0; 
alex bn:03665083n;1; 1; 1; 1; 1; 1; 0; 
thomas bn:00005240n;1; 1; 1; 1; 1; 1; 0; 
impératif bn:00104644a;1; 1; 1; 1; 1; 1; 0; 
archiver bn:00005448n;1; 1; 1; 1; 1; 1; 0; 
stocker bn:00089368v;1; 1; 1; 1; 1; 1; 0; 
héberger bn:00082216v;1; 1; 1; 1; 1; 1; 0; 
légèrement bn:00116111r;1; 1; 1; 1; 1; 1; 0; 
réduire bn:00086598v;1; 1; 1; 1; 1; 1; 0; 
affichage bn:00027675n;1; 1; 1; 1; 1; 1; 0; 
tel bn:00000005n;1; 1; 1; 1; 1; 1; 0; 
fax bn:00032653n;1; 1; 1; 1; 1; 1; 0; 
guise bn:00000146n;1; 1; 1; 1; 1; 1; 0; 
bcd bn:16690020n;1; 1; 1; 1; 1; 1; 0; 
article de presse bn:14993780n;1; 1; 1; 1; 1; 1; 0; 
science bn:00069670n;1; 1; 1; 1; 1; 1; 0; 
obliger bn:00083496v;1; 1; 1; 1; 1; 1; 0; 
visibles bn:00110277a;1; 1; 1; 1; 1; 1; 0; 
fin de paragraphe bn:03475717n;1; 1; 1; 1; 1; 1; 0; 
système d’exploitation bn:00059123n;1; 1; 1; 1; 1; 1; 0; 
disquette bn:00027619n;1; 1; 1; 1; 1; 1; 0; 
accès libre bn:04691509n;1; 1; 1; 1; 1; 1; 0; 
punition bn:00061325n;1; 1; 1; 1; 1; 1; 0; 
retour bn:00046318n;1; 1; 1; 1; 1; 1; 0; 
or bn:00006911n;1; 1; 1; 1; 1; 1; 0; 
compléter bn:00085479v;1; 1; 1; 1; 1; 1; 0; 
féminin bn:00102884a;1; 1; 1; 1; 1; 1; 0; 
chasse bn:00045245n;1; 1; 1; 1; 1; 1; 0; 
amis bn:00036538n;1; 1; 1; 1; 1; 1; 0; 
précédent bn:00097191a;1; 1; 1; 1; 1; 1; 0; 
interdit bn:04029035n;1; 1; 1; 1; 1; 1; 0; 
correct bn:00100490a;1; 1; 1; 1; 1; 1; 0; 
min bn:00055094n;1; 1; 1; 1; 1; 1; 0; 
triche bn:00017978n;1; 1; 1; 1; 1; 1; 0; 
pipotron bn:04723513n;1; 1; 1; 1; 1; 1; 0; 
égard bn:00031654n;1; 1; 1; 1; 1; 1; 0; 
tant bn:00114490r;1; 1; 1; 1; 1; 1; 0; 
dégradation bn:02639083n;1; 1; 1; 1; 1; 1; 0; 
anticiper bn:00082665v;1; 1; 1; 1; 1; 1; 0; 
préoccuper bn:00085522v;1; 1; 1; 1; 1; 1; 0; 
remémorer bn:00084413v;1; 1; 1; 1; 1; 1; 0; 
possession bn:00059958n;1; 1; 1; 1; 1; 1; 0; 
bon sens bn:00021164n;1; 1; 1; 1; 1; 1; 0; 
correspondante bn:00096282a;1; 1; 1; 1; 1; 1; 0; 
onglets bn:00120018n;1; 1; 1; 1; 1; 1; 0; 
nouvelles bn:00057546n;1; 1; 1; 1; 1; 1; 0; 
sort bn:03141550n;1; 1; 1; 1; 1; 1; 0; 
gedcom bn:02074085n;1; 1; 1; 1; 1; 1; 0; 
implode bn:15906431n;1; 1; 1; 1; 1; 1; 0; 
journal bn:00057563n;1; 1; 1; 1; 1; 1; 0; 
généalogie bn:00033524n;1; 1; 1; 1; 1; 1; 0; 
renvoyer bn:00092761v;1; 1; 1; 1; 1; 1; 0; 
