;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;CJA
optimisation bn:01564896n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
fonctionnement bn:00059128n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
remarque bn:00020977n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
autre bn:00108013a;1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 
traiter de bn:00083202v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
aborder bn:00084117v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
universitaires bn:00110169a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
autonome bn:00097830a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
logiciel bn:00021497n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
docbook bn:03194644n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
texte source bn:03152229n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
disponible bn:00097848a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
seul bn:00110667a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
langage naturels bn:00056990n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
processeur bn:00014395n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
réécrire bn:00092997v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
portabilité bn:03720519n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
langage compilés bn:00981689n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
intelligible bn:00097389a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
point de vue bn:00063237n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
auxiliaire bn:00007423n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
mesure bn:00090716v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
compilé bn:00085470v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
confidentialité bn:00021748n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
paiement bn:00061119n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
paiement en ligne bn:05011741n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
lisp bn:00051502n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
applets bn:00005083n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
flash bn:01369336n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
problématique bn:00097982a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
contrôle de sécurité bn:03784539n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
validité bn:01410980n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
être extrait bn:00087897v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
outil de développement bn:03072994n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
application web bn:02246184n;1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 0; 
tant bn:00114490r;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
cas particulier bn:02482901n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
quelconques bn:00097433a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
classiques bn:00019566n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
table de multiplication bn:03381903n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
factorielles bn:00032673n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
enfant bn:00018346n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
après bn:00114165r;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
clic bn:00019758n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
exclusifs bn:00102512a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
avoir accès bn:00082209v;1; 1; 1; 1; 1; 0; 0; 1; 0; 1; 1; 
phrase bn:00070528n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
bébé bn:00007630n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
distance bn:00027749n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
nom de personne bn:03150299n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
permis de chasse bn:00037195n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
capital bn:00015496n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
coûter bn:00083193v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
groupe bn:00041942n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
incomplète bn:00104851a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
devinette bn:00012686n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
manipulation bn:00042822n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
string bn:00050078n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
matrice bn:00053849n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
couple bn:00012597n;1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 
hoaxbuster bn:04764839n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
virus bn:00021501n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
e-mail bn:00029345n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
identifier bn:00089575v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
xxvii bn:00000091n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
fonction de base bn:03294262n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
migration bn:00261245n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
comme bn:00117173r;1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 
adodb bn:00868267n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
metadata bn:00054548n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
firebird bn:02246711n;1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 
informix bn:03306725n;1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 
clore bn:00087609v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
explicitement bn:00115285r;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
ansi bn:03507104n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
homogène bn:00104286a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
adresse mail bn:02312462n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
copier-coller bn:00797466n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
rendre bn:00067105n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
détecter bn:00086708v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
envier bn:00083351v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
souhaitable bn:00101237a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
force brute bn:00149736n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
bc bn:15403265n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
temps de calcul bn:00068589n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
compliquer bn:00085483v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
chaîne littérale bn:01271375n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
tex bn:02362481n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
alex bn:03665083n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
thomas bn:00005240n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
avoir envie de bn:00088107v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
fonctionnalité bn:00036836n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
archiver bn:00005448n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
stocker bn:00089368v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
particulier bn:00073185n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
data source name bn:03804134n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
héberger bn:00082216v;1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 
légèrement bn:00116111r;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
configurer bn:00085667v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
affichage bn:00027675n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
tel bn:00000005n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
fax bn:00032653n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
guise bn:00000146n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
sous-répertoire bn:00074880n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
article de presse bn:14993780n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
copier bn:00022534n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
horizontale bn:00104328a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
fin de paragraphe bn:03475717n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
disquette bn:00027619n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
mini-site bn:00251724n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
accès libre bn:04691509n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
libre bn:00099806a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
numéro de téléphone bn:00058286n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
téléphone bn:00062020n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
énoncé bn:00087699v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
punition bn:00061325n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
récursive bn:00109560a;1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 
retour bn:00046318n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
or bn:00006911n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
compléter bn:00085479v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
féminin bn:00102884a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
chasse bn:00045245n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
chiens bn:00015267n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
amis bn:00036538n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
interdit bn:04029035n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
limiter bn:00086468v;1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 
triche bn:00017978n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
pipotron bn:04723513n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
égard bn:00031654n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
dégradation bn:02639083n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
convient bn:00094581v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
anticiper bn:00082665v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
préoccuper bn:00085522v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
remémorer bn:00084413v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
globalité bn:00031025n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
possession bn:00059958n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
bon sens bn:00021164n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
correspondante bn:00096282a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
onglets bn:00120018n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
sciences bn:00069670n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
chansons bn:00072794n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
genre musicaux bn:00037743n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
parole bn:00049911n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
statistique bn:00074061n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
droit d’auteur bn:03579896n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
supprimer bn:00086081v;1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 
paroles de chanson bn:03103700n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
orthographe bn:00059588n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
familiarisation bn:00032889n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
créneau horaires bn:00072215n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
notification bn:00005139n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
tableur bn:00073631n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
dérouler bn:00085568v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
rue bn:00074595n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
seance bn:03262459n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
club de tennis bn:00076523n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
tennis bn:00050287n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
défaire bn:00083247v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
payer bn:00091494v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
matériel bn:00021480n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
civile bn:00099730a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
clavier bn:00021482n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
vol bn:00050004n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
dégradation bn:03664474n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
mettre en prison bn:00088673v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
vainqueur bn:00079944n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
logistiques bn:00051869n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
match bn:00090698v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
caravane bn:02932902n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
branchement bn:00131727n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
lit bn:00009472n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
lit pliants bn:00015043n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
nuit bn:00025236n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
redevance bn:00068452n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
véhicules bn:00079675n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
courrier publicitaires bn:00027338n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
publicitaires bn:00109098a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
car bn:00007329n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
réfrigérateur bn:00045744n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
prestation bn:00064923n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
localisation géographique bn:01504309n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
téléphone bn:00084387v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
entendre bn:00007120n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
fin bn:00105751a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
presque bn:00114079r;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
adhérents bn:00001362n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
adhesion bn:00001361n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
moindre bn:00105825a;1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 
intuitive bn:00105365a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
vital bn:00113642a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
bibliothèque thématiques bn:00482485n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
thématiques bn:00111800a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
avantageront bn:00083414v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
aphorisme bn:00004883n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
logiciel libres bn:00182120n;1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 
décès bn:00025582n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
seul bn:00114235r;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
lieu de naissance bn:00010686n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
multimédia bn:00056283n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
document officiel bn:00046963n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
acte bn:00001077n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
acte de naissance bn:00010670n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
mariage bn:00053107n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
minimales bn:00106755a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
album bn:00002488n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
photo bn:00062084n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
import-export bn:15970061n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
gedcom bn:02074085n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
mormons bn:00019012n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
nom complet bn:01700772n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
jésus-christ bn:00018805n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
logiciel de généalogie bn:01872393n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
stocker bn:00095635v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
maladies bn:00027546n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
bonheur bn:00042905n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
part bn:00070912n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
exception bn:00059781n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
sexe bn:00037634n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
gravite bn:00089032v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
administratif bn:00096474a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
besoin de savoir bn:03234470n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
fier bn:00103467a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
temps partiel bn:01038658n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
partiel bn:00108290a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
décharges bn:00086914v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
contrat bn:00022227n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
libre accès bn:03097420n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
enseignant bn:00089791v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
vacataires bn:05008890n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
deug bn:02806247n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
service bn:00070651n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
semestre bn:00000561n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
universitaires bn:00096228a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
universitaire bn:00079152n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
économie bn:00029676n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
histoire bn:00044268n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
maître de conférence bn:14504106n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
moins bn:00116104r;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
pédagogique bn:00108383a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
titulaires bn:14132983n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
cm bn:00017163n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
travaux dirigés bn:04778693n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
parler bn:00090283v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
obliger bn:00083496v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
philosophie bn:00061984n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
bac bn:00044028n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
chargé bn:14456945n;1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 
chargé de cours bn:16339539n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
criminelles bn:00100650a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
institutions bn:00046954n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
politique bn:00108759a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
littérature bn:00051538n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
littérature germaniques bn:00434180n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
romanes bn:00105767a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
littérature arabes bn:03227656n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
psychologie bn:00065026n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
psychologie clinique bn:00019826n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
psychologie sociale bn:00072543n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
arts bn:00005927n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
musique bn:00056443n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
musicologie bn:00056479n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
anthropologie bn:00004584n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
éthnologie bn:00031731n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
préhistoire bn:00064143n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
civilisation bn:00019384n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
archéologie bn:00005391n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
contemporain bn:00100361a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
géographie bn:00040163n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
géographie physique bn:00062165n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
espace bn:00046665n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
mathématiques bn:00053823n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
constituants bn:00100333a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
chimie théorique bn:02502041n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
chimie organique bn:00059474n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
astronomie bn:00006663n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
océanographie bn:00058585n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
océanographie physique bn:03107326n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
physique bn:00056996n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
pharmaceutiques bn:00108518a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
génie mécanique bn:00054054n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
génie civil bn:00019361n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
génie informatique bn:03287605n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
procédés bn:03245758n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
biochimie bn:00010518n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
biologie bn:00010543n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
biologie moléculaire bn:00055560n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
moléculaire bn:00106855a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
biologie cellulaire bn:00024908n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
physiologie bn:00062182n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
population bn:00063596n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
écologie bn:00010564n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
éducation bn:00026980n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
epistémologie bn:00031237n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
cultures bn:01187943n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
activité physiques bn:00032203n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
théologie bn:00076827n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
théologie catholique bn:00848908n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
approche bn:00005141n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
vinyl bn:00080027n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
l’album bn:15350182n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
ailleurs bn:00115192r;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
problème bn:00048242n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
là bn:00117260r;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
centrale bn:00063961n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
intitulé bn:00043268n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
